日期,时间,标题,标题(中文),摘要,摘要(中文),来源,标签,链接,点赞,分享,评论
2026-06-14,00:34:15,"Ukraine says Russian forces advance on eastern front","乌克兰称俄罗斯军队在东部前线推进","Ukrainian military officials reported continued Russian advances in the eastern Donbas region, with heavy fighting around Avdiivka and Bakhmut. The situation remains tense as both sides continue to deploy troops.","乌克兰 军事官员报道 俄罗斯持续推进 东部顿巴斯地区, 激战 阿夫季夫卡 和 巴赫穆特. 局势仍然紧张 作为 双方继续部署军队.",Reuters,"乌克兰;俄罗斯;美国",https://www.reuters.com/world/europe/ukraine-says-russian-forces-advance-eastern-front-2026-03-16/,57,117,55
2026-06-14,00:34:15,"Israel conducts airstrikes in Gaza after rocket fire","以色列在加沙发动空袭 火箭弹袭击后","The Israeli military carried out airstrikes in Gaza overnight following rocket attacks from Palestinian militants. The exchange marks another escalation in the long-standing conflict.","以色列 军事 执行 空袭 加沙 连夜 在...之后 火箭弹 袭击 巴勒斯坦武装分子. 这次交火标志着又一次升级 长期冲突.",BBC,"以色列;哈马斯",https://www.bbc.com/news/middle-east/israel-gaza-strikes-2026-03-16/,420,81,83
2026-06-14,00:34:15,"US warns Iran over nuclear program escalation","美国就核计划警告伊朗 escalation","The United States has warned Iran against further escalation of its nuclear program, saying all options remain on the table. International negotiations have reached a critical point.","美国 warned 伊朗 反对 进一步 escalation 核武器 program, 表示 所有选项都在考虑范围内. 国际谈判已达成 关键点.",CNN,"伊朗;美国",https://www.cnn.com/world/iran-us-nuclear-2026-03-16/,585,26,70
2026-06-14,00:34:15,"NATO allies discuss increased support for Ukraine","北约盟国讨论增加支持 乌克兰","NATO defense ministers met to discuss increasing military support for Ukraine amid ongoing conflict with Russia. Several new aid packages were announced.","北约 国防部长开会 讨论增加军事支持 乌克兰 在持续冲突中 俄罗斯. 宣布了新的援助计划.",Al Jazeera,"乌克兰;俄罗斯;美国;欧洲",https://www.aljazeera.com/news/nato-ukraine-support-2026-03-16/,66,36,24
2026-06-14,00:34:15,"Russian military announces new offensive in Donbas","俄罗斯军方宣布新攻势 顿巴斯","Russian military officials announced a new offensive operation in the Donbas region. Ukrainian forces are preparing defensive positions.","俄罗斯 军事 官员 宣布 新 攻势 行动 顿巴斯 地区. 乌克兰军队正在准备 防御阵地.",Reuters,"俄罗斯;美国",https://www.reuters.com/world/europe/russia-donbas-offensive-2026-03-16/,49,143,90
2026-06-14,17:36:27,"Thousands protest as Trump, other world leaders set to meet for G7 summit","Thousands protest 作为 Trump, other world leaders set meet G7 summit","","",Al Jazeera,"美国",https://www.aljazeera.com/news,136,119,107
2026-06-14,17:36:27,"Netherlands vs Japan live: World Cup 2026","Netherlands vs Japan live: World Cup 2026","","",Al Jazeera,"其他",https://www.aljazeera.com/news,333,33,102
2026-06-14,17:36:27,"‘Unacceptable’: London protesters slam illegal Israeli settlement land sale","‘Unacceptable’: London protesters slam illegal 以色列 settlement land sale","","",Al Jazeera,"以色列",https://www.aljazeera.com/news,22,193,130
2026-06-14,17:36:27,"UK forces seize suspected Russian oil tanker accused of funding Ukraine war","UK 军队 seize suspected 俄罗斯 oil tanker accused of funding 乌克兰 战争","","",Al Jazeera,"乌克兰;俄罗斯;美国",https://www.aljazeera.com/news,299,261,15
2026-06-14,17:36:27,"Trump makes endorsement in key Georgia Republican US Senate run-off","Trump makes endorsement key Georgia Republican 美国 Senate run-off","","",Al Jazeera,"美国",https://www.aljazeera.com/news,324,98,72
2026-06-14,17:36:27,"Trump condemns Israel’s attack on Beirut, says Iran deal still close","Trump condemns 以色列’s 攻击 Beirut, 表示 伊朗 deal still close","","",Al Jazeera,"以色列;伊朗;美国",https://www.aljazeera.com/news,753,12,38
2026-06-14,17:36:27,"‘We were herded like animals’: Freed from Boko Haram captivity","‘We herded like animals’: Freed Boko Haram captivity","","",Al Jazeera,"其他",https://www.aljazeera.com/news,593,274,20
2026-06-14,17:36:27,"US asks Anthropic to block global access to top AI models: Why it matters","美国 asks Anthropic block global access top AI models: Why it matters","","",Al Jazeera,"美国",https://www.aljazeera.com/news,795,18,117
