日期,时间,标题,标题(中文),摘要,摘要(中文),来源,标签,链接,点赞,分享,评论
2026-03-26,07:53:53,"Meta and YouTube found liable in landmark social media addiction trial","Meta 和 YouTube found liable landmark social media addiction trial","","",BBC,"其他",https://www.bbc.com/news/world,307,307,104
2026-03-26,07:53:53,"A woman has been awarded $6m in a verdict that could have implications for hundreds of other cases in the US.","woman been awarded $6m verdict that could implications hundreds of other cases 美国.","","",BBC,"美国",https://www.bbc.com/news/world,722,24,95
2026-03-26,07:53:53,"Trump says Iran 'afraid' to admit to talks as Tehran rejects reports of dialogue","Trump 表示 伊朗 'afraid' admit talks 作为 德黑兰 rejects 报道 of dialogue","","",BBC,"伊朗;美国",https://www.bbc.com/news/world,280,255,167
2026-03-26,07:53:53,"'We are in agony' - Savannah Guthrie does first interview since mum's disappearance","'We agony' - Savannah Guthrie does first interview since mum's disappearance","","",BBC,"其他",https://www.bbc.com/news/world,496,338,76
2026-03-26,07:53:53,"The US presenter says terrifying thoughts wake her at night as she imagines what happened.","美国 presenter 表示 terrifying thoughts wake her night 作为 she imagines what happened.","","",BBC,"美国",https://www.bbc.com/news/world,285,265,68
2026-03-26,07:53:53,"Musketeer d'Artagnan's remains believed found under Dutch church","Musketeer d'Artagnan's 仍然 believed found under Dutch church","","",BBC,"美国",https://www.bbc.com/news/world,168,472,35
2026-03-26,07:53:53,"D'Artagnan was killed during the Siege of Maastricht in 1673 and later immortalised in the stories of Alexandre Dumas.","D'Artagnan killed during Siege of Maastricht 1673 和 later immortalised stories of Alexandre Dumas.","","",BBC,"其他",https://www.bbc.com/news/world,297,480,156
2026-03-26,07:53:53,"Who wants what and why from US-Iran peace talks?","Who wants what 和 why 美国-伊朗 peace talks?","","",BBC,"伊朗;美国",https://www.bbc.com/news/world,378,87,159
2026-03-26,07:53:53,"Prepare for turbulence - how a prolonged Middle East conflict could reshape how we fly","Prepare turbulence - how prolonged 中东 冲突 could reshape how we fly","","",BBC,"中东",https://www.bbc.com/news/world,604,213,22
2026-03-26,07:53:53,"UN votes to recognise enslavement of Africans as 'gravest crime against humanity'","UN votes recognise enslavement of Africans 作为 'gravest crime 反对 humanity'","","",BBC,"其他",https://www.bbc.com/news/world,856,14,161
2026-03-26,07:54:03,"US demands Iran accept defeat or be 'hit harder' than before'","美国 demands 伊朗 accept defeat 或 be 'hit harder' than before'","","",Al Jazeera,"伊朗;美国",https://www.aljazeera.com/news,791,319,112
2026-03-26,07:54:03,"Two killed, 3 injured from falling debris in Abu Dhabi","Two killed, 3 injured falling debris Abu Dhabi","","",Al Jazeera,"其他",https://www.aljazeera.com/news,82,204,144
2026-03-26,07:54:03,"Netanyahu says Israel is expanding a 'buffer zone' in south Lebanon","内塔尼亚胡 表示 以色列 expanding 'buffer zone' south Lebanon","","",Al Jazeera,"以色列",https://www.aljazeera.com/news,609,264,73
