日期,时间,标题,标题(中文),摘要,摘要(中文),来源,标签,链接,点赞,分享,评论
2026-03-23,13:40:11,"Trump says he's postponing power plant strikes after US-Iran talks - but Tehran denies talks took place","Trump 表示 he's postponing power plant strikes after 美国-伊朗 talks - but 德黑兰 denies talks took place","","",BBC,"伊朗;美国",https://www.bbc.com/news/world,646,17,184
2026-03-23,13:40:11,"The US president says the countries discussed a "total resolution of our hostilities" in the Middle East over the last two days.","美国 总统 表示 countries discussed "total resolution of our hostilities" 中东 over last two days.","","",BBC,"美国;中东",https://www.bbc.com/news/world,128,476,13
2026-03-23,13:40:11,"Two pilots dead after plane and ground vehicle collide at New York's LaGuardia Airport","Two pilots dead after plane 和 ground vehicle collide 新 York's LaGuardia Airport","","",BBC,"其他",https://www.bbc.com/news/world,7,182,47
2026-03-23,13:40:11,"UN warns Earth's climate being 'pushed beyond its limits' as El Niño looms","UN warns Earth's climate being 'pushed beyond its limits' 作为 El Niño looms","","",BBC,"美国",https://www.bbc.com/news/world,819,335,59
2026-03-23,13:40:11,"The Earth's climate is further out of balance than at any time in recorded history, the UN's weather agency says.","Earth's climate 进一步 out of balance than any time recorded history, UN's weather agency 表示.","","",BBC,"其他",https://www.bbc.com/news/world,980,82,169
2026-03-23,13:40:11,"Israeli settlers target Palestinian villages in occupied West Bank, attacking people and properties","以色列 settlers target 巴勒斯坦 villages occupied West Bank, attacking people 和 properties","","",BBC,"以色列;哈马斯",https://www.bbc.com/news/world,650,153,152
2026-03-23,13:40:11,"The violence began after 18-year-old settler Yehuda Sherman was killed after reportedly being hit by a vehicle driven by a Palestinian while on his quad bike.","violence began after 18-year-old settler Yehuda Sherman killed after 据报道 being hit vehicle driven 巴勒斯坦 while his quad bike.","","",BBC,"哈马斯",https://www.bbc.com/news/world,429,389,198
2026-03-23,13:40:11,"Oil falls and shares rebound after Trump says talks have been held to end war","Oil falls 和 shares rebound after Trump 表示 talks been held end 战争","","",BBC,"美国",https://www.bbc.com/news/world,756,470,48
2026-03-23,13:40:11,"Israel to expand ground and air attacks agains","以色列 expand ground 和 air 袭击 agains","","",BBC,"以色列",https://www.bbc.com/news/world,149,266,160
2026-03-23,13:40:23,"‘False flag attack’: Iran denies claims it fired missiles at Diego Garcia","‘False flag 攻击’: 伊朗 denies claims it fired missiles Diego Garcia","","",Al Jazeera,"伊朗",https://www.aljazeera.com/news,333,362,77
2026-03-23,13:40:23,"‘Substantial evidence’ of double-tap strike in killing of Hind Rajab","‘Substantial evidence’ of double-tap 袭击 killing of Hind Rajab","","",Al Jazeera,"其他",https://www.aljazeera.com/news,724,165,142
2026-03-23,13:40:23,"Trump shares SNL skit mocking Starmer as he speaks to UK PM over Iran war","Trump shares SNL skit mocking Starmer 作为 he speaks UK PM over 伊朗 战争","","",Al Jazeera,"伊朗;美国",https://www.aljazeera.com/news,404,260,88
2026-03-23,13:40:23,"UK police investigate Jewish charity ambulance arson as hate crime","UK police investigate Jewish charity ambulance arson 作为 hate crime","","",Al Jazeera,"其他",https://www.aljazeera.com/news,786,299,87
