日期,时间,标题,标题(中文),摘要,摘要(中文),来源,标签,链接,点赞,分享,评论
2026-03-24,13:36:26,"IPL champions Bengaluru to keep 11 seats empty in honour of stampede dead","IPL champions Bengaluru keep 11 seats empty honour of stampede dead","","",Al Jazeera,"其他",https://www.aljazeera.com/news,742,107,74
2026-03-24,13:36:26,"Palestinians struggle as Gaza endures severe fuel and gas shortages","Palestinians struggle 作为 加沙 endures severe fuel 和 gas shortages","","",Al Jazeera,"哈马斯",https://www.aljazeera.com/news,363,115,73
2026-03-24,13:36:26,"Australia and EU seal trade deal to cut reliance on China’s rare earths","Australia 和 EU seal trade deal cut reliance China’s rare earths","","",Al Jazeera,"美国",https://www.aljazeera.com/news,203,65,108
2026-03-24,13:36:26,"Lebanon declares Iranian ambassador persona non grata amid Israeli attacks","Lebanon declares 伊朗 ambassador persona non grata amid 以色列 袭击","","",Al Jazeera,"以色列;伊朗",https://www.aljazeera.com/news,57,71,126
2026-03-24,13:36:26,"How does the current global oil crisis compare with the 1973 oil embargo?","How does current global oil crisis compare 1973 oil embargo?","","",Al Jazeera,"其他",https://www.aljazeera.com/news,518,242,9
2026-03-24,13:36:26,"Bill Cosby found guilty of 1972 sexual assault, victim awarded nearly $60m","Bill Cosby found guilty of 1972 sexual assault, victim awarded nearly $60m","","",Al Jazeera,"其他",https://www.aljazeera.com/news,798,290,33
2026-03-24,13:36:26,"Amazon says AWS Bahrain region ‘disrupted’ following drone activity","Amazon 表示 AWS Bahrain 地区 ‘disrupted’ 在...之后 无人机 activity","","",Al Jazeera,"其他",https://www.aljazeera.com/news,543,224,87
2026-03-24,13:36:26,"Supporter groups file lawsuit against FIFA over World Cup ticket prices","Supporter groups file lawsuit 反对 FIFA over World Cup ticket prices","","",Al Jazeera,"其他",https://www.aljazeera.com/news,26,307,139
2026-03-24,14:35:42,"Ukraine says Russian forces advance on eastern front","乌克兰称俄罗斯军队在东部前线推进","Ukrainian military officials reported continued Russian advances in the eastern Donbas region, with heavy fighting around Avdiivka and Bakhmut. The situation remains tense as both sides continue to deploy troops.","乌克兰 军事官员报道 俄罗斯持续推进 东部顿巴斯地区, 激战 阿夫季夫卡 和 巴赫穆特. 局势仍然紧张 作为 双方继续部署军队.",Reuters,"乌克兰;俄罗斯;美国",https://www.reuters.com/world/europe/ukraine-says-russian-forces-advance-eastern-front-2026-03-16/,596,390,1
2026-03-24,14:35:42,"Israel conducts airstrikes in Gaza after rocket fire","以色列在加沙发动空袭 火箭弹袭击后","The Israeli military carried out airstrikes in Gaza overnight following rocket attacks from Palestinian militants. The exchange marks another escalation in the long-standing conflict.","以色列 军事 执行 空袭 加沙 连夜 在...之后 火箭弹 袭击 巴勒斯坦武装分子. 这次交火标志着又一次升级 长期冲突.",BBC,"以色列;哈马斯",https://www.bbc.com/news/middle-east/israel-gaza-strikes-2026-03-16/,112,275,16
2026-03-24,14:35:42,"US warns Iran over nuclear program escalation","美国就核计划警告伊朗 escalation","The United States has warned Iran against further escalation of its nuclear program, saying all options remain on the table. International negotiations have reached a critical point.","美国 warned 伊朗 反对 进一步 escalation 核武器 program, 表示 所有选项都在考虑范围内. 国际谈判已达成 关键点.",CNN,"伊朗;美国",https://www.cnn.com/world/iran-us-nuclear-2026-03-16/,449,114,15
2026-03-24,14:35:42,"NATO allies discuss increased support for Ukraine","北约盟国讨论增加支持 乌克兰","NATO defense ministers met to discuss increasing military support for Ukraine amid ongoing conflict with Russia. Several new aid packages were announced.","北约 国防部长开会 讨论增加军事支持 乌克兰 在持续冲突中 俄罗斯. 宣布了新的援助计划.",Al Jazeera,"乌克兰;俄罗斯;美国;欧洲",https://www.aljazeera.com/news/nato-ukraine-support-2026-03-16/,284,240,79
2026-03-24,14:35:42,"Russian military announces new offensive in Donbas","俄罗斯军方宣布新攻势 顿巴斯","Russian military officials announced a new offensive operation in the Donbas region. Ukrainian forces are preparing defensive positions.","俄罗斯 军事 官员 宣布 新 攻势 行动 顿巴斯 地区. 乌克兰军队正在准备 防御阵地.",Reuters,"俄罗斯;美国",https://www.reuters.com/world/europe/russia-donbas-offensive-2026-03-16/,192,90,82
