日期,时间,标题,标题(中文),摘要,摘要(中文),来源,标签,链接,点赞,分享,评论
2026-03-30,14:42:58,"Trump threatens to 'obliterate' Iran's energy facilities if deal not reached 'shortly'","Trump threatens 'obliterate' 伊朗's energy facilities if deal not reached 'shortly'","","",BBC,"伊朗;美国",https://www.bbc.com/news/world,208,297,76
2026-03-30,14:42:58,"Meanwhile, attacks continue in Iran, Lebanon, and across the region - with a refinery in Israel set on fire by debris from an intercepted missile.","Meanwhile, 袭击 continue 伊朗, Lebanon, 和 across 地区 - refinery 以色列 set fire debris intercepted 导弹.","","",BBC,"以色列;伊朗",https://www.bbc.com/news/world,636,86,123
2026-03-30,14:42:58,"Why does the US have Iran's Kharg Island in its sights?","Why does 美国 伊朗's Kharg Island its sights?","","",BBC,"伊朗;美国",https://www.bbc.com/news/world,333,81,184
2026-03-30,14:42:58,"Kris Jenner's image spreads in Chinese social media good luck trend","Kris Jenner's image spreads Chinese social media good luck trend","","",BBC,"其他",https://www.bbc.com/news/world,500,230,97
2026-03-30,14:42:58,"Hundreds of thousands of posts have been shared in the past three days as users hope for prosperity","Hundreds of thousands of posts been shared past three days 作为 users hope prosperity","","",BBC,"美国",https://www.bbc.com/news/world,165,232,149
2026-03-30,14:42:58,"48-hour curfew imposed after attack on bar in Nigerian city","48-hour curfew imposed after 攻击 bar Nigerian city","","",BBC,"其他",https://www.bbc.com/news/world,190,472,68
2026-03-30,14:42:58,"The raid led to revenge attacks in Jos, with 22 reported dead so far in one of the most volatile parts of the country.","raid led revenge 袭击 Jos, 22 报道 dead so far one most volatile parts country.","","",BBC,"其他",https://www.bbc.com/news/world,708,349,89
2026-03-30,14:42:58,"Russian oil tanker reaches Cuba after Trump appears to loosen blockade","俄罗斯 oil tanker reaches Cuba after Trump appears loosen blockade","","",BBC,"俄罗斯;美国",https://www.bbc.com/news/world,844,168,86
2026-03-30,14:42:58,"Spain closes airspace to US aircraft involved in Iran war","Spain closes airspace 美国 aircraft involved 伊朗 战争","","",BBC,"伊朗;美国",https://www.bbc.com/news/world,397,264,186
2026-03-30,14:42:58,"Russia expels British diplomat over spying allegations","俄罗斯 expels British diplomat over spying allegations","","",BBC,"俄罗斯;美国",https://www.bbc.com/news/world,805,146,149
2026-03-30,14:43:17,"Rubio tells Al Jazeera Strait of Hormuz will reopen ‘one way or another’","Rubio tells 半岛电视台 Strait of Hormuz will reopen ‘one way 或 another’","","",Al Jazeera,"其他",https://www.aljazeera.com/news,269,238,56
2026-03-30,14:43:17,"Trump wants to ‘take Iran’s oil’: Can he, and what would that mean?","Trump wants ‘take 伊朗’s oil’: Can he, 和 what would that mean?","","",Al Jazeera,"伊朗;美国",https://www.aljazeera.com/news,783,204,102
2026-03-30,14:43:17,"Kenya’s former New York marathon champion Korir gets five-year doping ban","Kenya’s former 新 York marathon champion Korir gets five-year doping ban","","",Al Jazeera,"其他",https://www.aljazeera.com/news,465,41,3
2026-03-30,14:43:17,"The Take: What is the ‘Greater Israel’ project?","Take: What ‘Greater 以色列’ project?","","",Al Jazeera,"以色列",https://www.aljazeera.com/news,161,26,28
2026-03-30,14:43:17,"Spain closes airspace to US planes involved in war on Iran","Spain closes airspace 美国 planes involved 战争 伊朗","","",Al Jazeera,"伊朗;美国",https://www.aljazeera.com/news,789,388,42
2026-03-30,14:43:17,"Why have the US and Israel bombed more than 75 Iranian police facilities?","Why 美国 和 以色列 bombed more than 75 伊朗 police facilities?","","",Al Jazeera,"以色列;伊朗;美国",https://www.aljazeera.com/news,687,28,119
2026-03-30,14:43:17,"Trump ‘pretty sure’ of Iran deal, but can Pakistan-led efforts end the war?","Trump ‘pretty sure’ of 伊朗 deal, but can Pakistan-led efforts end 战争?","","",Al Jazeera,"伊朗;美国",https://www.aljazeera.com/news,247,178,73
2026-03-30,14:43:17,"Russia’s FSB orders British diplomat’s expulsion, UK rejects ‘intimidation’","俄罗斯’s FSB orders British diplomat’s expulsion, UK rejects ‘intimidation’","","",Al Jazeera,"俄罗斯;美国",https://www.aljazeera.com/news,436,350,68
