日期,时间,标题,标题(中文),摘要,摘要(中文),来源,标签,链接,点赞,分享,评论
2026-04-11,07:24:16,"US negotiators arrive in Pakistan ahead of peace talks with Iran","美国 negotiators arrive Pakistan ahead of peace talks 伊朗","","",BBC,"伊朗;美国",https://www.bbc.com/news/world,165,171,117
2026-04-11,07:24:16,"Pakistan's Foreign Minister Mohammad Ishaq Dar tells US delegation leader Vance he hopes Iran and the US will "engage constructively".","Pakistan's Foreign 部长 Mohammad Ishaq Dar tells 美国 delegation leader Vance he hopes 伊朗 和 美国 will "engage constructively".","","",BBC,"伊朗;美国",https://www.bbc.com/news/world,43,309,99
2026-04-11,07:24:16,"Lyse Doucet: Historic US-Iran talks must bridge deep distrust","Lyse Doucet: Historic 美国-伊朗 talks must bridge deep distrust","","",BBC,"伊朗;美国",https://www.bbc.com/news/world,153,478,132
2026-04-11,07:24:16,"Melania Trump's speech propels Epstein crisis back to forefront","Melania Trump's speech propels Epstein crisis back forefront","","",BBC,"美国",https://www.bbc.com/news/world,352,124,62
2026-04-11,07:24:16,"She has now placed herself squarely into the Epstein story and at odds with the administration, which wants to end the investigation.","She now placed herself squarely into Epstein story 和 odds administration, which wants end investigation.","","",BBC,"其他",https://www.bbc.com/news/world,446,57,87
2026-04-11,07:24:16,"Man accused of coercing wife into sex with 120 men goes on trial in Sweden","Man accused of coercing wife into sex 120 men goes trial Sweden","","",BBC,"美国",https://www.bbc.com/news/world,980,358,107
2026-04-11,07:24:16,"The 61-year-old denies threatening physical violence and plying his wife with drugs to force her into having sex with strangers.","61-year-old denies threatening physical violence 和 plying his wife drugs force her into having sex strangers.","","",BBC,"其他",https://www.bbc.com/news/world,767,196,53
2026-04-11,07:24:16,"Final push for votes as challenger to Hungary's Orbán scents victory","Final push votes 作为 challenger Hungary's Orbán scents victory","","",BBC,"美国",https://www.bbc.com/news/world,98,175,16
2026-04-11,07:24:16,"Artemis II mission was a triumph - now comes the hard part","Artemis II mission triumph - now comes hard part","","",BBC,"其他",https://www.bbc.com/news/world,860,151,92
2026-04-11,07:24:16,"Frontrunner for California governor denies sexual assault allegations","Frontrunner California governor denies sexual assault allegations","","",BBC,"其他",https://www.bbc.com/news/world,191,342,180
2026-04-11,07:24:39,"Enrich your Al Jazeera experience by signing in or creating an account.","Enrich your 半岛电视台 experience signing 或 creating account.","","",Al Jazeera,"其他",https://www.aljazeera.com/news,251,288,57
2026-04-11,07:24:39,"Djibouti’s President Guelleh wins sixth straight term in office","Djibouti’s 总统 Guelleh wins sixth straight term office","","",Al Jazeera,"其他",https://www.aljazeera.com/news,683,34,143
2026-04-11,07:24:39,"Iran war day 43: What’s happening in Lebanon, Middle East and beyond?","伊朗 战争 day 43: What’s happening Lebanon, 中东 和 beyond?","","",Al Jazeera,"伊朗;中东",https://www.aljazeera.com/news,733,101,20
2026-04-11,07:24:39,"Trump says Strait of Hormuz to reopen ‘soon’ as US, Iran head to talks","Trump 表示 Strait of Hormuz reopen ‘soon’ 作为 美国, 伊朗 head talks","","",Al Jazeera,"伊朗;美国",https://www.aljazeera.com/news,611,52,30
2026-04-11,07:24:39,"NASA’s Artemis II astronauts splash down on Earth after lunar mission","NASA’s Artemis II astronauts splash down Earth after lunar mission","","",Al Jazeera,"其他",https://www.aljazeera.com/news,95,46,127
2026-04-11,07:24:39,"US-Iran ceasefire talks set to kick off in Pakistan; Israel pounds Lebanon","美国-伊朗 停火 talks set kick off Pakistan; 以色列 pounds Lebanon","","",Al Jazeera,"以色列;伊朗;美国",https://www.aljazeera.com/news,344,187,74
2026-04-11,07:24:39,"Brazil announces US partnership to intercept weapons, drug trafficking","Brazil 宣布 美国 partnership intercept weapons, drug trafficking","","",Al Jazeera,"美国",https://www.aljazeera.com/news,599,365,66
2026-04-11,07:24:39,"Colombia responds to Ecuador’s tariff hike with 100-percent import tax","Colombia responds Ecuador’s tariff hike 100-percent import tax","","",Al Jazeera,"其他",https://www.aljazeera.com/news,216,361,54
2026-04-11,07:24:39,"Hezbollah rocket attack damages 1,500-year-","Hezbollah 火箭弹 攻击 damages 1,500-year-","","",Al Jazeera,"其他",https://www.aljazeera.com/news,328,103,134
2026-04-11,08:25:13,"Final push for votes as challenger to Hungary's Orbán senses victory","Final push votes 作为 challenger Hungary's Orbán senses victory","","",BBC,"美国",https://www.bbc.com/news/world,439,119,38
2026-04-11,08:25:40,"Israel rejects ceasefire with Hezbollah ahead of Lebanon talks next week","以色列 rejects 停火 Hezbollah ahead of Lebanon talks next week","","",Al Jazeera,"以色列",https://www.aljazeera.com/news,455,14,134
2026-04-11,08:25:40,"‘Ambassadors to the stars’: Artemis II makes historic lunar return","‘Ambassadors stars’: Artemis II makes historic lunar return","","",Al Jazeera,"其他",https://www.aljazeera.com/news,201,273,38
2026-04-11,08:25:40,"City must be perfect to catch Arsenal, Guardiola says ahead of Chelsea trip","City must be perfect catch Arsenal, Guardiola 表示 ahead of Chelsea trip","","",Al Jazeera,"美国",https://www.aljazeera.com/news,331,247,19
2026-04-11,08:25:40,"Vance in Pakistan to lead US-Iran ceasefire talks; Israe","Vance Pakistan lead 美国-伊朗 停火 talks; Israe","","",Al Jazeera,"伊朗;美国",https://www.aljazeera.com/news,29,126,61
2026-04-11,09:24:06,"'You are my god', Japan's PM tells British rock band Deep Purple","'You my god', Japan's PM tells British rock band Deep Purple","","",BBC,"其他",https://www.bbc.com/news/world,145,468,127
2026-04-11,09:24:06,"Hard rock enthusiast Sanae Takaichi beamed as she met the rockers in her Tokyo office.","Hard rock enthusiast Sanae Takaichi beamed 作为 she met rockers her Tokyo office.","","",BBC,"美国",https://www.bbc.com/news/world,842,434,152
2026-04-11,09:24:23,"At least seven Palestinians killed in Israeli attacks on Gaza","least seven Palestinians killed 以色列 袭击 加沙","","",Al Jazeera,"以色列;哈马斯",https://www.aljazeera.com/news,44,20,35
2026-04-11,10:23:57,"US and Iranian officials meet Pakistani PM in separate talks ahead of peace negotiations","美国 和 伊朗 官员 meet Pakistani PM separate talks ahead of peace 谈判","","",BBC,"伊朗;美国",https://www.bbc.com/news/world,776,243,127
2026-04-11,10:23:57,"Iranian state TV warns talks could be cancelled if Tehran’s conditions are not met, as details of the negotiations remain unclear.","伊朗 state TV warns talks could be cancelled if 德黑兰’s conditions not met, 作为 details 谈判 remain unclear.","","",BBC,"伊朗",https://www.bbc.com/news/world,76,112,150
2026-04-11,10:24:18,"UK to hold off on deal ceding Chagos Islands amid US opposition","UK hold off deal ceding Chagos Islands amid 美国 opposition","","",Al Jazeera,"美国",https://www.aljazeera.com/news,260,264,128
2026-04-11,10:24:18,"What’s at stake in Benin’s presidential election?","What’s stake Benin’s presidential election?","","",Al Jazeera,"其他",https://www.aljazeera.com/news,52,118,66
2026-04-11,11:24:11,"Trump posts graphic video of slaying to argue for stricter immigration policies","Trump posts graphic video of slaying argue stricter immigration policies","","",BBC,"美国",https://www.bbc.com/news/world,630,230,196
2026-04-11,11:24:11,"A Haitian migrant previously protected from deportation is acccused of beating a woman to death at a Florida petrol station.","Haitian migrant previously protected deportation acccused of beating woman death Florida petrol station.","","",BBC,"美国",https://www.bbc.com/news/world,437,36,49
2026-04-11,11:24:32,"Israel in row with South Korean leader over Palestinian abuse concerns","以色列 row South Korean leader over 巴勒斯坦 abuse concerns","","",Al Jazeera,"以色列;哈马斯;美国",https://www.aljazeera.com/news,512,127,1
